Label	Runlength	Gen	Randomizer	PID	Thinning	Mu	Nodes	Param1	Param2	Param3	Independence-Rate
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	16	1.0	500	0.5	-	-	8.016032064128256e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	32	1.0	500	0.5	-	-	0.9134749498997996
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	64	1.0	500	0.5	-	-	0.9913907815631262
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	150	1.0	500	0.5	-	-	0.991503006012024
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	3	300	1.0	500	0.5	-	-	0.9916392785571142
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	16	1.0	500	0.5	-	-	0.00010420841683366733
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	32	1.0	500	0.5	-	-	0.9142925851703407
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	64	1.0	500	0.5	-	-	0.9915430861723447
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	150	1.0	500	0.5	-	-	0.9917675350701403
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	14	300	1.0	500	0.5	-	-	0.991438877755511
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	16	1.0	500	0.5	-	-	7.214428857715431e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	32	1.0	500	0.5	-	-	0.9136913827655311
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	64	1.0	500	0.5	-	-	0.9912625250501002
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	150	1.0	500	0.5	-	-	0.9912945891783567
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	18	300	1.0	500	0.5	-	-	0.9911743486973947
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	2	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	4	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	8	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	16	1.0	500	0.5	-	-	6.412825651302605e-05
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	1	32	1.0	500	0.5	-	-	0.914877755511022
